title,sentiment
These tech jobs may disappear in the face of automation,0
Crypto News: PayPal To Allow the Use of Cryptocurrency,1
PayPal Stock Rises On Launch Of Cryptocurrency Service Vs. Rival Square,0
"Visa, JPMorgan Chase Launch Mobile Payment Services To Meet Demand For Touchless Transactions",0
Why Square Stock Sank 5% This Morning,0
PayPals Big Bitcoin News Helps the Company More Than the Coin,1
JPMorgan moves into fintech space,0
JPMorgan Chase Just Announced a New Payment Platform: Should Square and PayPal Investors Be Worried?,0
JPMorgan Chase Takes Aim at Square and PayPal With a New Payments Service,0
Investors Who Bought Square (NYSE:SQ) Shares Three Years Ago Are Now Up 468%,1
JPMorgan Takes Aim At Top Fintech Players' SMB Market Share,1
Amazon to Let Employees Work From Home Through June 2021,1
Square (SQ) Stock Sinks As Market Gains: What You Should Know,1
Faire Is in Talks to Double Its Valuation to More Than $2 Billion,0
"Were Hedge Funds Right About Crowding Into Square, Inc. (SQ)?",0
Where Will Square Be in 1 Year?,0
5 of the Most Talked-About FinTwit Stocks,0
Square Stock Is Up 200% This Year. How Much Higher Can It Go?,0
Square's Terminal API Availability Boosts Portfolio Strength,1
Atlassian (TEAM) Surges: Stock Moves 8.7% Higher,0
3 Top Stocks That Can Make You Bank This Decade,1
Think Antitrust Is Coming for Big Tech: These 3 Stocks Would Be Huge Winners,1
Square announces new developer tool at conference,0
Square announces Terminal API at Unboxed 2020 Conference,0
Why Square Is Jamie Dimon's Favorite Mistake,1
3 Top Tech Stocks to Buy During This Recession,0
Square (SQ) Dips More Than Broader Markets: What You Should Know,0
"Venmo's New Credit Card, Square's New Investment, and a Preview of Bank Earnings",1
Forget Bitcoin: Here Are 3 Stocks You Should Buy Instead,0
"Square's $50M Bitcoin Investment Vote Of Confidence For Cryptocurrency's Future, JPMorgan Says",1
Square Invests in Bitcoins to Boost Cryptocurrency Footprint,1
"The Zacks Analyst Blog Highlights: Square, L'Air Liquide and Nintendo",0
Is Square Stock A Buy? Cash App Growth Vs. Small Business Exposure,1
3 Must-Own Growth Stocks for Robinhood Investors,1
"Top Stock Picks for Week of October 12, 2020",1
Think Trump Wins? These 3 Stocks Would Thrive if Trump's China Policies Remain in Place,1
2 Key Things Investors Missed in the Stock Market Rally This Week,0
3 Small-Cap Bitcoin Stocks That Could Benefit From Square's Purchase,1
Square (SQ) Outpaces Stock Market Gains: What You Should Know,1
"Square buys roughly 4,709 Bitcoins, valued at $50M",1
"Square, SPG, ICLK, LLNW and SIRI as Zacks Bull and Bear of the Day",0
Square Says It Bought $50 Million of Bitcoin; Shares Rise,1
Square Puts $50 Million in Bitcoin on Crypto Empowerment Bet,0
Square stock gains after company purchases $50 million in bitcoin,1
Square Invests $50M In Bitcoin; Dorsey Sees A Currency For The Internet,0
"Square, Inc. Invests $50 Million in Bitcoin",0
"Forget the FAANG Stocks and Buy ""TIPS"" Instead",0
2 Top E-Commerce Stocks to Watch in October,1
Square to Announce Third Quarter 2020 Results,0
Register Now for Square Unboxed 2020,0
Why Square Hit All-Time Highs This Week,0
ROCE Insights For Square,0
Square Marks The Spot For Fabulous Fintech ETF,1
"Got $5,000? Here Are 3 Stocks to Consider Buying in October",0
"Square stands to benefit from growing usage of debit cards, analyst says",1
Why Square Stock Jumped Today,0
NVIDIA Is Building AI-Based Communications Services for Its Cloud Computing Segment,0
Square Capital Chief Resigning,0
5 Must-Own Stocks for the New Bull Market,0
3 Stocks to Invest in the Economy's Digital Transformation,0
Ignore Tesla: Here Are 3 Better Stocks,1
3 Surefire Winners Robinhood Investors Can't Stop Buying,1
Square (SQ) Stock Sinks As Market Gains: What You Should Know,1
A powerful source of job creation is on a record-breaking upswing,1
P/E Ratio Insights for Square,0
"Wolfe Research Upgrades Square, Sees More Room To Run After Big 2020 Rally",0
Square Survey Finds 76% of Small Business Owners Plan to Give Their Employees Time Off to Vote this Election Day,0
Is Square a Buy Even If the Stock Market Crashes?,0
"Buy PayPal and Square Stock, Analysts Say. No One Wants to Touch Cash.",0
Fintech Stocks Score Triple-Digit Gains As This Top Tech Play Soars,1
Square (SQ) Pledges $100M to Promote Systemic Racial Equity,1
Square (SQ) Outpaces Stock Market Gains: What You Should Know,1
"Dow Jones Futures: Amid Whipsaw Stock Market Action, Tesla, Nvidia, Adobe, Alibaba Hold Key Support",1
"Oppenheimer upgrades Square to outperform, sets $185 price target",0
Square is positioned to be a winner by helping small businesses digitize post-pandemic: Oppenheimer,1
"The Zacks Analyst Blog Highlights: AT&T, Philip Morris, Square, Zoom and Vale",0
Oppenheimer Upgrades Square On Massive Digital Shift In Commerce,0
How COVID-19 is fueling contactless payment companies,0
Square stock gets an upgrade as Cash App enthusiasm keeps growing,1
PayPal's Doubling Down On New Products,0
"Square, Inc. to Invest $100 Million in Minority and Underserved Communities",0
PayPal vs Square: Which Fintech Stock Is A Better Buy?,1
"Dow Jones Falls 150 Points Amid Powell Comments; Amazon, Apple Jump, While Tesla Skids On Elon Musk Tweet",1
"Dow Jones Futures: Stock Market Rally Gets Boost From Apple, AMD, Big Techs; Tesla Dives Late On Elon Musk Battery Day News",1
IPO Stocks To Watch: Beyond Meat Goes Beyond Meatballs And Into China,0
Cash Is History. How to Profit From the Digital-Payment Future.,1
Square's Newest Services Show Off Its Massive Disruptive Potential,0
